"","Time","Region","Ratio","Upper","Lower"
"212",1985.5,"Southern Western Europe",0.988074354479295,1.18029149329688,0.827160862824343
"312",1986.5,"Southern Western Europe",0.995373380205427,1.15436620713474,0.858278906553209
"412",1987.5,"Southern Western Europe",1.00208781207705,1.13313618612515,0.886195318276128
"512",1988.5,"Southern Western Europe",1.00814031266237,1.11683861777815,0.910021263445305
"612",1989,"Southern Western Europe",1.01089406796533,1.11060247192422,0.920137351105432
"711",1989.5,"Southern Western Europe",1.01345321695507,1.10564477516883,0.928948832412958
"810",1990.5,"Southern Western Europe",1.01794902975691,1.0993731094444,0.942555551232933
"92",1991.5,"Southern Western Europe",1.02157444239948,1.097200624713,0.951160907000749
"102",1992.5,"Southern Western Europe",1.02439581190301,1.09795053073461,0.955768725520191
"113",1993.5,"Southern Western Europe",1.02651794670796,1.10042354472765,0.957575926071555
"122",1994.5,"Southern Western Europe",1.02804817197496,1.10357008675876,0.957694537557808
"132",1995.5,"Southern Western Europe",1.02909529371989,1.10594119621216,0.957588999472685
"142",1996.5,"Southern Western Europe",1.02973998085965,1.1078745440633,0.957115978395701
"152",1997.5,"Southern Western Europe",1.03004930066031,1.11026404109385,0.955629942536448
"162",1998.5,"Southern Western Europe",1.03009077806092,1.11159570866649,0.954561989375672
"172",1999.5,"Southern Western Europe",1.02935433148782,1.10774581129489,0.956510355488647
"182",2000,"Southern Western Europe",1.02861557266693,1.10456984220553,0.957884197001319
"192",2000.5,"Southern Western Europe",1.02774478446271,1.10179650466552,0.958670078837256
"202",2001.5,"Southern Western Europe",1.02595091142783,1.09909448034916,0.957674969239422
"213",2002,"Southern Western Europe",1.02519900723443,1.09874401305415,0.95657677488766
"222",2002.5,"Southern Western Europe",1.0246575009601,1.09819285081837,0.956046102004212
"232",2003.5,"Southern Western Europe",1.0243155143524,1.09490751341398,0.958274794983804
"242",2004.5,"Southern Western Europe",1.02412645263018,1.09194878209875,0.960516654417608
"252",2005.5,"Southern Western Europe",1.02289950326526,1.08957443639393,0.960304646319747
"262",2006.5,"Southern Western Europe",1.02004754762104,1.08468619814854,0.95926084537974
"272",2007.5,"Southern Western Europe",1.01699774273696,1.08044461400303,0.957276657523476
"282",2008.5,"Southern Western Europe",1.01434264008002,1.07717884033863,0.95517192963154
"292",2009.5,"Southern Western Europe",1.01145605143631,1.07497739399733,0.951688239864217
"302",2010.5,"Southern Western Europe",1.00833384363,1.07453467449334,0.946211568918468
"313",2011.5,"Southern Western Europe",1.00493778278769,1.07684464893883,0.937832535333148
"322",2012.5,"Southern Western Europe",1.00123983522299,1.08299462869311,0.925656675552581
"332",2013.5,"Southern Western Europe",0.997251458323167,1.0935709353276,0.909415602591667
"342",2014.5,"Southern Western Europe",0.992984237979621,1.10872845934983,0.889322979455387
