world_bank_name,united_nations_name,sub_saharan_africa,drop_country,world_bank_code,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id,broad_region_id,region_id
Cuba,Cuba,FALSE,FALSE,CUB,UMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,192,1,2
Curaçao,Curaçao,FALSE,TRUE,CUW,HIC,Central America and The Caribbean,Americas,AMER,N/A,N/A,531,1,2
Cyprus,Cyprus,FALSE,FALSE,CYP,HIC,Middle East,Middle East and Africa,MEA,EUR,Europe,196,4,5
Czech Republic,Czechia,FALSE,FALSE,CZE,HIC,Eastern Europe,Europe,EUR,EUR,Europe,203,3,4
Democratic People's Republic of Korea,Dem. People's Republic of Korea,FALSE,FALSE,PRK,LIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,408,2,3
Democratic Republic of the Congo,Democratic Republic of the Congo,TRUE,FALSE,COD,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,180,4,12
Denmark,Denmark,FALSE,FALSE,DNK,HIC,Nordic Countries,Europe,EUR,EUR,Europe,208,3,6
Djibouti,Djibouti,TRUE,FALSE,DJI,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,262,4,12
Dominican Republic,Dominican Republic,FALSE,FALSE,DOM,UMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,214,1,2
Ecuador,Ecuador,FALSE,FALSE,ECU,UMIC,South America,Americas,AMER,SACA,South America & Central America,218,1,9
Egypt,Egypt,FALSE,FALSE,EGY,LMIC,North Africa,Middle East and Africa,MEA,EMME,Middle East & North Africa,818,4,7
El Salvador,El Salvador,FALSE,FALSE,SLV,LMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,222,1,2
Equatorial Guinea,Equatorial Guinea,TRUE,FALSE,GNQ,UMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,226,4,12
Eritrea,Eritrea,TRUE,FALSE,ERI,LIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,232,4,12
Estonia,Estonia,FALSE,FALSE,EST,HIC,Western Europe,Europe,EUR,EUR,Europe,233,3,13
