loc_id,year,hba1c
76,2050,9.5
76,2060,9.5
76,2100,9.5
96,1850,13.5
96,1920,13.5
96,1921,11
96,1950,11
96,1980,10
96,1990,9
96,2000,9
96,2010,9
96,2020,8.5
96,2030,8.5
96,2040,8.5
96,2050,8.5
96,2060,8.5
96,2100,8.5
100,1850,13.5
100,1920,13.5
100,1921,12
100,1950,12
100,1980,12
100,1990,9.5
100,2000,9.5
100,2010,9.5
100,2020,9.5
100,2030,9.5
100,2040,9.5
100,2050,9.5
100,2060,9.5
100,2100,9.5
854,1850,13.5
854,1920,13.5
854,1921,13.5
854,1950,13.5
854,1980,13.5
854,1990,13.5
854,2000,13.5
854,2010,13.5
854,2020,12.5
854,2030,12.5
854,2040,12.5
854,2050,12.5
854,2060,12.5
854,2100,12.5
108,1850,13.5
108,1920,13.5
108,1921,13.5
108,1950,13.5
108,1980,13.5
108,1990,13.5
108,2000,13.5
108,2010,13.5
108,2020,12.5
108,2030,12.5
108,2040,12.5
108,2050,12.5
108,2060,12.5
108,2100,12.5
116,1850,13.5
116,1920,13.5
116,1921,12
116,1950,12
116,1980,12
116,1990,12
116,2000,12
116,2010,12
116,2020,11.5
116,2030,11.5
116,2040,11.5
116,2050,11.5
116,2060,11.5
116,2100,11.5
120,1850,13.5
120,1920,13.5
120,1921,12
120,1950,12
120,1980,12
120,1990,12
120,2000,12
120,2010,12
120,2020,11.5
120,2030,11.5
120,2040,11.5
120,2050,11.5
120,2060,11.5
120,2100,11.5
124,1850,13.5
124,1920,13.5
124,1921,11
124,1950,11
124,1980,10
124,1990,9
124,2000,9
124,2010,9
124,2020,8.5
124,2030,8.5
124,2040,8.5
124,2050,8.5
124,2060,8.5
124,2100,8.5
132,1850,13.5
132,1920,13.5
132,1921,12
132,1950,12
132,1980,12
132,1990,12
132,2000,12
132,2010,12
132,2020,11.5
132,2030,11.5
132,2040,11.5
132,2050,11.5
132,2060,11.5
132,2100,11.5
140,1850,13.5
140,1920,13.5
140,1921,13.5
140,1950,13.5
140,1980,13.5
140,1990,13.5
140,2000,13.5
140,2010,13.5
140,2020,12.5
140,2030,12.5
140,2040,12.5
140,2050,12.5
140,2060,12.5
140,2100,12.5
148,1850,13.5
148,1920,13.5
148,1921,13.5
148,1950,13.5
148,1980,13.5
148,1990,13.5
148,2000,13.5
148,2010,13.5
148,2020,12.5
148,2030,12.5
148,2040,12.5
148,2050,12.5
148,2060,12.5
148,2100,12.5
830,1850,13.5
830,1920,13.5
830,1921,11
830,1950,11
830,1980,10
830,1990,9
830,2000,9
830,2010,9
830,2020,8.5
830,2030,8.5
830,2040,8.5
830,2050,8.5
830,2060,8.5
830,2100,8.5
152,1850,13.5
152,1920,13.5
152,1921,11
152,1950,11
152,1980,10
152,1990,9
152,2000,9
152,2010,9
152,2020,8.5
152,2030,8.5
152,2040,8.5
152,2050,8.5
152,2060,8.5
152,2100,8.5
156,1850,13.5
156,1920,13.5
156,1921,12
156,1950,12
156,1980,12
156,1990,9.5
156,2000,9.5
156,2010,9.5
156,2020,9.5
156,2030,9.5
156,2040,9.5
156,2050,9.5
156,2060,9.5
156,2100,9.5
344,1850,13.5
344,1920,13.5
344,1921,11
344,1950,11
344,1980,10
