loc_id,iso3c,world_bank_name,united_nations_name,1950,1980,1990,2000,2010,2020
533,ABW,Aruba,Aruba,,4.50387312651353,4.50387312651353,4.50387312651353,4.50387312651353,4.50387312651353
4,AFG,Afghanistan,Afghanistan,5.5061081050871765,5.475604278136139,5.4311707544995045,5.430165103319166,5.304440325213657,5.263637145250797
24,AGO,Angola,Angola,5.473576708630357,5.424135105425085,5.498975380644456,5.481488477999084,5.408788901586503,5.325995856416009
8,ALB,Albania,Albania,5.265781967040505,4.302508638979424,4.296696376444539,4.290494690367059,4.409218987088635,4.424186269562524
784,ARE,United Arab Emirates,United Arab Emirates,4.683336133945588,4.547452028139382,4.645331720873426,3.969886636713253,4.260882532462177,3.4703008568058857
32,ARG,Argentina,Argentina,4.315275360788946,3.920573280410925,3.3738579900861927,3.1698039666119553,3.0584598870343007,2.6470678416749
51,ARM,Armenia,Armenia,4.825960913283757,4.825960913283757,4.825960913283757,3.3609499841417594,3.274208789442462,2.4525329539950778
28,ATG,Antigua and Barbuda,Antigua and Barbuda,5.248259070515351,5.195077356563799,4.8143571561277865,5.379521503538869,5.026721537855685,3.205753643377041
36,AUS,Australia,Australia,4.5205845998266145,4.197836672625026,3.687480015968262,3.48821204508788,2.98410855296833,2.8046654763427923
40,AUT,Austria,Austria,4.4376427351662056,4.120816456881089,3.1851023587148064,2.7170437076800478,2.2777291691278627,2.1276417434856914
31,AZE,Azerbaijan,Azerbaijan,2.9735725885341715,2.9735725885341715,2.74399396907188,2.8589385052406127,2.812414745487594,2.9276761930999244
108,BDI,Burundi,Burundi,5.531657730365066,5.529609404744585,5.4827066879070205,5.488801799687861,5.492665541329987,5.440129258975529
56,BEL,Belgium,Belgium,4.356222654417023,3.6198236185115853,3.007909390455124,3.287270612059602,3.2340759952215588,3.1382647658756255
204,BEN,Benin,Benin,5.501012358545444,5.481691494185193,5.489818310218108,5.4827066879070205,5.484940775942785,5.461325914714647
854,BFA,Burkina Faso,Burkina Faso,5.530633472727583,5.5234689776247325,5.512229232166967,5.50305009100136,5.495208959777849,5.4556654110104335
50,BGD,Bangladesh,Bangladesh,5.4171085704735935,5.420118827338236,5.363208936169939,5.34041485233717,5.18114671209735,4.976706211577474
100,BGR,Bulgaria,Bulgaria,4.27233884570157,3.514145861735833,3.0510494888621427,2.9300626125545013,2.7591781855424644,2.6260249941760074
48,BHR,Bahrain,Bahrain,5.098815884346275,4.531480294557663,4.422056677950353,4.587882951846623,4.648515635162015,4.668875259164765
44,BHS,Bahamas,Bahamas,,4.658252997436721,4.3642969820129265,4.542738727843448,3.327139209204161,3.821794518961198
70,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,4.577021151465859,4.577021151465859,4.139554706798879,4.233198989150842,3.971945572747921,3.7137948146038346
112,BLR,Belarus,Belarus,3.2326389875712214,3.2326389875712214,3.2326389875712214,3.008020793460907,3.0360013969706894,2.119462373915359
84,BLZ,Belize,Belize,5.29904055554311,5.201815894687359,4.92344904292969,4.592302917657844,4.754113705643868,4.501455096653954
68,BOL,Bolivia,Bolivia (Plurinational State of),5.274565342663745,5.061187464391905,5.098815884346275,4.357029414500902,5.109685740680243,4.128378005347187
76,BRA,Brazil,Brazil,5.171082328993449,4.937143919970034,4.531983806289937,4.492461434090824,3.9607813130797553,3.711938433133241
52,BRB,Barbados,Barbados,5.214353520470936,5.030353157774676,4.487223431347525,4.320552663327098,3.962908911217833,3.4983681720632216
96,BRN,Brunei Darussalam,Brunei Darussalam,5.394085408714251,5.112998555067271,5.020116857130081,4.597919006972453,4.237826549435145,4.113954340959906
64,BTN,Bhutan,Bhutan,5.41510266142884,5.41510266142884,5.21049257427872,5.489818310218108,5.518357164088945,5.123234499073623
72,BWA,Botswana,Botswana,5.498975380644456,5.4171085704735935,5.346351778628128,5.238840366939338,5.134631805566946,5.026721537855685
140,CAF,Central African Republic,Central African Republic,5.521423684229466,5.497957174564742,5.50305009100136,5.5061081050871765,5.4935810363289495,5.468409804011308
124,CAN,Canada,Canada,4.5205845998266145,3.97098950539459,3.7564009468937534,3.7564009468937534,3.799495873691535,3.417750065488244
756,CHE,Switzerland,Switzerland,4.276296436501066,3.48821204508788,3.1797395409965996,2.8825949555839503,2.7334957529144885,2.501427425551618
830,CHI,Channel Islands,Channel Islands,,4.231396394166724,4.180769641109852,4.180769641109852,4.180769641109852,4.180769641109852
152,CHL,Chile,Chile,4.9969299372585185,5.0368780320358475,4.5205845998266145,4.476434149805975,4.250007815285984,3.4297963263007296
156,CHN,China,China,4.545768145485903,4.50387312651353,4.519329091301672,4.408484198995893,4.234375008270336,3.840950807810553
384,CIV,Cote d'Ivoire,Côte d'Ivoire,5.5081477251534885,5.476618344522815,5.4523325047563675,5.450313552589541,5.396083532366935,5.309452300943367
120,CMR,Cameroon,Cameroon,5.507127820696113,5.4695238217158,5.458393849631171,5.466486126020348,5.456170574505314,5.452231539388234
180,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,5.526538338371379,5.467498503751106,5.4745903995169085,5.471549889916247,5.446883049501401,5.466486126020348
178,COG,Republic of Congo,Congo,5.48067648843955,5.366189241309956,5.265781967040505,4.8410876195836945,5.424536896879589,5.37563780455509
170,COL,Colombia,Colombia,5.190269460138866,5.072446739125917,4.592728138710945,4.334014937514122,4.127154997558037,3.6978739208989606
174,COM,Comoros,Comoros,5.456372653000097,5.456372653000097,5.42714926689581,5.466486126020348,5.350214319544108,5.270171825033371
