iso3c,loc_id,period1,period2,period3,world_bank_name
AFG,4,94.12426562313433,94.07528891442476,87.312576262459,Afghanistan
ALB,8,7.9535266447002355,2.643280132368357,0.35358382083634127,Albania
DZA,12,46.62045525540723,10.179543959818261,5.618436396835631,Algeria
AGO,24,97.68281424903587,95.0266808456925,91.14855592013934,Angola
ATG,28,4.537900743046248,5.366521475772309,0.2662423427260936,Antigua and Barbuda
ARG,32,0.015809868417638213,4.3403153671396166e-4,3.654523378624135e-4,Argentina
ARM,51,61.87647353902275,0.07447525280655636,0.0015254812361064191,Armenia
ABW,533,56.62874025357916,16.534592547858075,37.87588790093041,Aruba
AUS,36,0.0012561532400801713,6.908890043529468e-6,1.569653572356583e-7,Australia
AUT,40,0.0030487264713368743,5.54426655606252e-5,4.7751388396141635e-6,Austria
AZE,31,0.037678921027336894,0.012137972347186657,0.002469054515558354,Azerbaijan
BHS,44,0,0,0,Bahamas
BHR,48,24.701442115753984,3.9900017581091705,3.8857527021903633,Bahrain
BGD,50,94.63674154570393,94.00277182830237,68.65548476536718,Bangladesh
BRB,52,2.5514243126806906,0.02557762369112128,0.02899721214481368,Barbados
BLR,112,0.04631019603655937,0.0048622639763967555,2.7519526734506122e-5,Belarus
BEL,56,0.0036012972198934306,0.002343330460457629,4.2865148161773365e-4,Belgium
BLZ,84,60.922680793834736,11.7766011802774,29.100086900897953,Belize
BEN,204,97.63865843616784,94.11511064170429,89.35706072515056,Benin
BTN,64,94.69194845977596,94.08170555611215,70.18261494856269,Bhutan
BOL,68,77.80782015087205,16.798163441243542,19.930809981239367,Bolivia
BIH,70,5.9635863603361665,0.6812278386761804,0.02214452172351085,Bosnia and Herzegovina
BWA,72,97.51124420735945,92.3064235000698,78.62831544016872,Botswana
BRA,76,15.268895360910385,0.14676402536782404,0.08597585155186274,Brazil
BRN,96,29.245083490963697,0.2611959438443864,0.01429884194244663,Brunei Darussalam
BGR,100,0.023941315932681912,0.0030373178798163173,3.2241096676653973e-4,Bulgaria
BFA,854,97.65635796076279,94.10970392727664,88.87142470794845,Burkina Faso
BDI,108,97.66333672216246,95.02909287081087,90.37633238163119,Burundi
KHM,116,93.51029824504096,62.701103489795806,61.0359785205272,Cambodia
CMR,120,97.64993014412732,94.04607926342996,88.40865810986703,Cameroon
CAN,124,0,0,0,Canada
CPV,132,96.22910431871074,73.86329733690233,17.14289130735052,Cape Verde
CAF,140,97.66152438992027,95.5486797309779,93.6571212910449,Central African Republic
TCD,148,97.65071501669239,95.04066543762782,91.80778268724096,Chad
CHI,830,0,0,0,Channel Islands
CHL,152,1.068325869104852,0.02901219929391073,0.0014085146142627026,Chile
CHN,156,38.915928026553765,0.5592499104905595,0.0037002052506385874,China
HKG,344,3.1141409695654776,0.04152023204350577,0.018993527542986183,"China, Hong Kong SAR"
MAC,446,11.63928065066434,0.12998963758771967,0.009856931031511777,"China, Macao SAR"
TWN,158,0,0,0,"China, Taiwan Province of China"
COL,170,11.68732895890162,0.1406753715095712,0.04100359510318224,Colombia
COM,174,97.7287343060774,93.16517862565956,84.05129796928233,Comoros
CRI,188,1.2836115589771466,0.005556321727006652,0.002566690477676361,Costa Rica
CIV,384,97.71710104261221,94.68252065601045,89.98471376631076,Cote d'Ivoire
HRV,191,0.06298255736293412,0.014082564908201521,0.0010002955674865064,Croatia
CUB,192,4.982574900791498e-4,8.571997958858427e-6,5.922518720905801e-6,Cuba
CUW,531,47.23724452645563,4.548295363736102,1.8360772459076569,Curaçao
CYP,196,0.5488748084513435,0.06858591423066479,0.0061748679420426484,Cyprus
CZE,203,0.023090422720619896,7.598447973876587e-4,7.742773277539916e-5,Czech Republic
PRK,408,0.048927881806804,3.770756411016322e-4,2.8547342458398678e-5,Democratic People's Republic of Korea
COD,180,97.67317373036005,94.60058454679118,90.70512360315846,Democratic Republic of the Congo
DNK,208,0.024210209647577995,8.759283473997404e-4,6.521735143604194e-5,Denmark
DJI,262,53.94183308500274,29.851750266286547,65.75667274736394,Djibouti
DOM,214,5.791205285307858,0.2431824298752167,0.919791654406649,Dominican Republic
ECU,218,31.120694553287464,0.7895719897431144,0.43520400492060485,Ecuador
EGY,818,22.955395553519185,0.7744960999871737,15.355195862178759,Egypt
SLV,222,48.94805314827569,0.30075379336878655,0.4492201822064345,El Salvador
GNQ,226,97.88064781923651,94.01599685176997,84.75885938586457,Equatorial Guinea
ERI,232,97.64581035447793,94.48459918017923,91.50977275393608,Eritrea
EST,233,0.0265815029692606,0.004281315787853757,1.9722564511446506e-4,Estonia
ETH,231,97.65545688868895,94.89247991078595,89.19833053762315,Ethiopia
FSM,583,94.0783057177525,49.23448090791981,59.753647585340616,Federated States of Micronesia
FJI,242,94.4970369692128,54.81194432564368,34.640988544781735,Fiji
FIN,246,0.01831700791147779,0.0015164405444275414,9.877187794738738e-5,Finland
