iso3c,loc_id,period1,period2,period3
AFG,4,51.72130017586185,46.36594476640376,46.50045594631963
ALB,8,15.009204129356263,10.277166348137328,8.390494466386297
DZA,12,11.568193003619982,8.846048518843002,4.19646385308418
AGO,24,79.21125964961162,63.2701601021219,47.08405421332357
ATG,28,14.497239032382014,2.719208828491624,3.181765247162164
ARG,32,11.272673603553232,6.5817822047420735,3.1119762366597183
ARM,51,23.709530684245973,0.13321667128927342,0.014118269947193429
ABW,533,11.674713154935027,3.387075275295306,1.9415787928137744
AUS,36,0,0,0
AUT,40,90.97357129552094,93.26178873205238,92.25997608229942
AZE,31,0.0492253267045458,0.01708764672926864,0.015746558021622083
BHS,44,0,0,0
BHR,48,37.28821804569662,19.281246751424018,31.324900767124124
BGD,50,35.36352262957194,23.343013079723544,17.191319287456373
BRB,52,15.642809489987053,7.078471734209389,6.45282260122505
BLR,112,0.5418057351811622,0.17353594984612547,0.17020207077433036
BEL,56,90.66683045987975,79.47329293796243,69.44882007834241
BLZ,84,8.376618766559572,3.019351289247296,1.6988801343629536
BEN,204,77.91479206329457,64.14174653599264,50.18059122640495
BTN,64,32.43837262712576,25.78444177197478,20.54625661178099
BOL,68,28.183573809418604,22.707053879733195,15.734100717432401
BIH,70,15.98470013193986,16.224313513714996,19.587184658386857
BWA,72,62.91205149356433,41.94108305549074,24.32141286303393
BRA,76,24.716958430556744,16.38605936388691,9.615248346827817
BRN,96,43.44820873722551,26.445924739064257,18.313490177880265
BGR,100,0.46883381605325675,0.1376103342636877,0.13602560820047618
BFA,854,79.44404948684657,64.84088013423192,53.2620508977905
BDI,108,78.64869013968881,65.70133347775204,53.264744351461765
KHM,116,13.630375002540193,18.11739346929353,33.47681681779212
CMR,120,76.71859665908615,62.09359137052996,51.518448320090684
CAN,124,0,0,0
CPV,132,57.79315719311649,30.80182279400205,8.758771289957316
CAF,140,79.51946093950681,64.54490294821385,55.053867621538934
TCD,148,79.68673714848647,66.02383253678408,55.63923817550885
CHI,830,0,0,0
CHL,152,28.2641465284983,24.786542581030798,9.457079208734594
CHN,156,17.256900648602677,11.617311624294965,9.375878186704865
HKG,344,39.4720750568656,23.23174745904197,19.33642031878949
MAC,446,43.09790001279846,25.515256731900653,18.003778807322206
TWN,158,0,0,0
COL,170,24.976047259246965,18.116515706372745,9.897319415413287
COM,174,75.88347720190504,56.258584751473485,40.88205305027304
CRI,188,15.209289194948122,8.727643153175109,10.285636138264124
CIV,384,76.85684714995004,60.754235616603836,43.61987816342269
HRV,191,71.03843810168033,60.54973985240403,59.59924700643631
CUB,192,58.47552474235948,52.337383569175756,54.262164510419694
CUW,531,13.1146804247715,5.526616802941128,5.151479874595855
CYP,196,9.536356297914464,3.4373315887859217,2.255410839322111
CZE,203,0.9801684781295384,0.47289482427286905,0.5836952224641215
PRK,408,13.49775864648574,6.944435938105481,4.420260453263147
COD,180,77.62602044025614,61.763495967361294,52.592948826036256
DNK,208,0,0,0
DJI,262,72.07700278537216,54.40528414054281,41.81529715871501
DOM,214,18.632588546153723,5.743682213153832,2.8432147758541375
ECU,218,23.264713673705707,16.306442934775284,9.842112730283045
EGY,818,5.153275631232017,2.201804166602504,4.372362231292551
SLV,222,10.32563943920364,5.197632470341499,3.1279398493067427
GNQ,226,67.61254975501714,52.0477419914971,36.52014507295879
ERI,232,80.00918199189769,63.58043907397533,53.67563617233504
EST,233,69.5045135895587,68.0410106301832,75.80426554873965
ETH,231,80.18656431074517,66.3029663531683,54.5032214161927
FSM,583,15.284507391022514,19.010729151115857,44.32135899449752
FJI,242,17.98036825814531,16.25533241599941,13.208538070683632
FIN,246,0,0,0
FRA,250,88.979049468878,88.16871573837736,75.73806770260859
GUF,254,0,0,0
PYF,258,0.31307974749420714,0.3593836067257453,0.7951960101144009
GAB,266,64.92349800990547,50.051467772169666,30.816558616748274
GMB,270,77.14678483432881,60.14488962001818,50.673326933338636
GEO,268,0.02057677886675697,0.009863597512433797,3.979173937477634e-4
DEU,276,86.01561071649866,88.6277008570526,88.55216545830956
GHA,288,77.37599750287502,59.615114240090584,46.49699301386566
GRC,300,93.46072178941347,92.508598826676,91.42848608388587
GRD,308,8.171255556189095,2.559001914201551,1.719751000720671
GLP,312,0,0,0
GUM,316,28.0238310420624,25.712610554709336,27.97346362866161
GTM,320,9.201459851803435,2.900588501411685,1.6183647526924048
GIN,324,74.84161860025257,61.48145423925631,52.34933312118215
GNB,624,72.53519791980197,60.05713210399135,51.36217688432839
GUY,328,33.80476888433067,25.01930676097322,16.770988696665892
HTI,332,7.535634093500783,3.304851581535257,2.2891828918029127
HND,340,8.223433685065922,2.5131375382025207,1.5858031938312103
HUN,348,0.5628218248789354,0.3071488077771187,0.4601639215818524
ISL,352,0,0,0
IND,356,25.887279444738688,21.387565866071544,15.916826722807048
IDN,360,20.620747942991144,23.274178770844316,29.467062149699007
IRQ,368,29.695597154760105,17.179569553987953,15.378481869987509
IRL,372,57.26435430678588,87.10408542387458,81.73710475666942
IRN,364,6.604246214828207,3.1107629135347183,0.6786904584251405
ISR,376,0.04700931008565183,0.03522469678110422,0.014918166581401557
ITA,380,93.59548981722592,91.61352317501407,88.97764268212079
JAM,388,11.613061246642536,3.0747883977472314,1.76624997570394
JPN,392,51.090209194459156,33.34445248220043,25.53284168586446
JOR,400,8.263182415277088,0.6480965593628862,0.6899469393456865
KAZ,398,0.48029265886063205,0.13430376028624877,0.11814298833995689
KEN,404,72.27473887942921,55.93314863780181,43.6174820338059
KIR,296,18.0771851391275,19.583590070550812,28.44442228556863
