iso3c,loc_id,period1,period2,period3
AFG,4,36.38272185855141,29.28410026352985,28.356711044048044
ALB,8,4.284876502766818,1.8423388816083586,2.349992579700659
DZA,12,10.216826612649234,8.005885248565765,3.919180440225122
AGO,24,74.14955684510996,57.96760239969515,47.63881666246477
ATG,28,13.088404274016854,18.05798028254105,4.794985082120439
ARG,32,3.027913783053771,1.5900499591410462,0.7124798493086668
ARM,51,23.807445867337826,1.798019194943988,1.0382568329004966
ABW,533,22.67619420507972,16.093001338748245,16.811981950845578
AUS,36,0.81488643939499406,0.5562344751740744,0.28587258204601074
AUT,40,0.9217955782672066,0.17312919985070097,0.1388800662359735
AZE,31,1.1397010419426619,0.6579601763572065,1.4301878514821535
BHR,48,24.128212112658023,9.757616919611694,16.266394266754766
BGD,50,29.579907864622644,20.437330473668915,14.835294058721784
BRB,52,11.494753422145326,3.680410270599774,1.8634888855270708
BLR,112,0.5378130012541773,0.08728413535705086,0.00826013701966118
BEL,56,0.9974972073626268,0.5608453454538581,0.6300110946225637
BLZ,84,29.306628798233547,16.470713602198554,16.878251280507904
BEN,204,66.46426698633964,53.75439673238313,46.05880254116869
BTN,64,28.301454521906834,22.752209885517892,17.166986449497028
BOL,68,36.76499781352116,29.482663896041867,21.25076576459858
BIH,70,3.6628478772222626,1.2910862428022245,1.0442150263176762
BWA,72,51.43919907898555,38.34190180165779,27.519207158446896
BRA,76,19.163557550840082,11.527371476233323,6.534108467744167
BRN,96,17.450627458074,10.129743891249287,7.556262066990088
BGR,100,0.396079144490795,0.07964025674378365,0.044829927666760944
BFA,854,69.65813929195131,54.15213779299317,46.84936553557482
BDI,108,76.45820833541016,59.55105682005256,49.16368811308624
KHM,116,70.03457931950466,66.93335207870001,66.97411975192156
CMR,120,65.20578056634204,52.30499786496659,45.44147429322795
CAN,124,1.2006996346940946,0.8172762761272847,0.4964702353618276
CPV,132,43.32345240665274,25.088634809357814,12.14742305666632
CAF,140,75.95682849636457,64.60164628035253,60.465601814780356
TCD,148,69.8206533129189,59.852749092339195,53.48688448813825
CHL,152,12.026977842172288,8.019004226261746,1.6506825680434083
CHN,156,17.56901966914966,11.855956058776112,7.243938976511563
HKG,344,9.039075547539241,5.788221911741101,10.789446144990778
MAC,446,14.743173411486623,8.199722355192012,9.107667788884468
COL,170,18.291053923371592,12.150790934678604,5.545712606756367
COM,174,67.08113250926712,46.65424023320457,36.893733805796025
CRI,188,10.482833779445334,1.9285188475935273,0.4368086211322699
CIV,384,68.24305197490061,54.26821369494637,43.89218274313084
HRV,191,1.553159889123936,0.5681578324709591,0.5015694846400459
CUB,192,0.05126215549698414,0.007066089619046865,0.0034205873708026313
CUW,531,20.125921018292598,10.02300314943939,7.019944350314853
CYP,196,3.9459517184954467,1.3150029070247542,1.4371810240667193
CZE,203,0.21753997967991628,0.014604945778843501,0.006974972927915392
PRK,408,0.7081934935339597,0.4906609754439292,0.6424258307761376
COD,180,67.2739864809613,54.443237318482694,49.44655228331889
DNK,208,0.3718246961839068,0.09139749189359231,0.042197788265327475
DJI,262,61.56560859864923,47.92607302129843,40.787130780209274
DOM,214,11.431557199925821,6.583452281946384,6.914804486403242
ECU,218,21.71823403165161,14.573138981626613,9.028268570348056
EGY,818,6.603441827448137,3.1171806728293077,5.720414546998566
SLV,222,23.42708872865949,7.159744478270551,5.637589049693064
GNQ,226,67.8743101348323,46.76828375213997,35.523382034800555
ERI,232,70.19231685427769,54.96669860519038,51.726185667947554
EST,233,0.9273444169537296,0.3109832961010388,0.281470529564683
ETH,231,75.71611445327603,58.95839007187198,47.890880828325145
FSM,583,50.10104784758405,49.200547732585235,64.35732364087437
FJI,242,51.77887501989827,55.94964010724275,53.06517383925797
FIN,246,0.3565404455475681,0.21102802496667364,0.10959167538619416
FRA,250,1.0634315733707935,0.347150900758793,0.518947564741798
PYF,258,24.397340614212382,27.5173280338945,32.626558254310275
GAB,266,56.88701160422814,42.391640299569,30.282251614178218
GMB,270,61.14390240824555,46.04928747528272,39.637634385099915
GEO,268,0.3479857552883349,0.31977480190079577,0.09820345252713229
DEU,276,1.2688647832337605,0.32042276708649836,0.24615886590951547
GHA,288,65.4465815638424,47.44892676298543,38.11861476203007
GRC,300,0.698953211751971,0.2188152617176106,0.13892935253660588
GRD,308,29.41999365705562,21.00164126525924,16.220023470658106
GUM,316,11.949607894269125,14.643616257199174,24.793854462327985
GTM,320,30.08188732617418,19.41126910489993,22.158572442303775
GIN,324,68.04663360494281,55.88704743429634,50.997228783197514
GNB,624,67.16950970163603,57.267351914912226,52.76444331455769
GUY,328,52.666061731640866,46.4671604527574,36.050093635425554
HTI,332,55.41735423306834,43.490351875944576,46.7103022552599
HND,340,33.263457381392364,28.448220626920907,27.106585035635298
HUN,348,0.24306905099355122,0.0480628535143104,0.035251821161919904
ISL,352,0.4069068325235977,0.10355314746781875,0.10266767925929673
IND,356,22.104294540295978,17.529639733734577,13.335712360522214
IDN,360,64.30117727705749,64.47259427473821,64.15457508079315
IRQ,368,32.73100174649295,22.30280009452603,31.3500903662381
IRL,372,3.0173516378828693,0.36336428527184456,0.4312704974456764
IRN,364,10.73515787455345,6.163337567643094,1.9499839004759365
ISR,376,0.10744992905044862,0.06361624001539395,0.08021796621513742
ITA,380,0.294186735280422,0.2925730169598974,0.30647153735601196
JAM,388,17.605874017182018,13.177271145461834,14.130899748375153
JPN,392,1.175303034803346,0.41751137805596344,0.6787680547455808
JOR,400,10.978870125807363,1.9923077970558898,3.0130901880367156
